report_date,total_purchase_amt,total_redeem_amt
20131216,-70800836,45417187
20131217,3155055,74116
20131218,6814905,93058881
20131219,63955225,28438647
20131220,-50786857,9940430
20131221,-758143,-38840592
20131222,29098367,-23221342
20131223,-25689436,-5720526
20131224,115714434,-4008117
20131225,128479549,45525538
20131226,-58272065,110558845
20131227,10258865,-8543027
20131228,14361026,-71634130
20131229,-39005440,-48715882
20131230,55626417,46676526
20131231,9389440,110203
20140101,92553554,-68828659
20140102,160381289,72828008
20140103,27959024,-10500670
20140104,-75759740,4951446
20140105,-16430207,56921407
20140106,169279321,9667741
20140107,207276031,-19857286
20140108,-209251907,64826188
20140109,26475975,-46656716
20140110,-24913663,-27787514
20140111,38583860,-24721634
20140112,-7747271,43040597
20140113,154349008,5666839
20140114,-30237918,12862866
20140115,44113432,13453062
20140116,17294739,-16492924
20140117,38267186,-14572606
20140118,-27265656,45074106
20140119,-55487043,-17682581
20140120,19900294,263453009
20140121,44881406,49457321
20140122,169977485,23877718
20140123,70351681,-49611756
20140124,243999960,142540602
20140125,-2310803,-32108090
20140126,143569541,130789251
20140127,74939235,-51279350
20140128,255874047,-2147192
20140129,289171910,-32690519
20140130,-522278362,-106012893
20140131,-228012100,-119077278
20140201,-118644020,-12381453
20140202,-82698368,-86379671
20140203,-167861299,-111955799
20140204,-117396986,-41151507
20140205,43712952,3486628
20140206,22300548,29112120
20140207,354247599,171514719
20140208,693197,45619226
20140209,28667354,87634534
20140210,188953109,162980198
20140211,199236463,-43026644
20140212,49861201,92438231
20140213,109112429,99217253
20140214,-34734331,-40700018
20140215,-133618524,-99687300
20140216,26789849,-16755838
20140217,263274038,137669911
20140218,-37872216,11529821
20140219,-178706281,45768670
20140220,140580973,-37485643
20140221,-138677652,-64935998
20140222,13960840,-15876174
20140223,39739958,17135761
20140224,183200866,188314529
20140225,-77329708,12516265
20140226,111717065,-23138869
20140227,163942161,233745135
20140228,-155118261,-11863240
20140301,49870413,-37617156
20140302,-100534011,-9949760
20140303,-1840466,145769604
20140304,-21947557,-78472262
20140305,-49810975,-95984660
20140306,170002784,-22209634
20140307,-95029406,66436317
20140308,-22049218,-43562348
20140309,-45797383,4811898
20140310,-905132,-42164399
20140311,-78977596,273607623
20140312,-91926577,73413225
20140313,-21532325,-48999807
20140314,11788162,1193378
20140315,72764290,22350652
20140316,4236657,128872640
20140317,-152921815,-1726155
20140318,25976118,51641246
20140319,-86295691,64218249
20140320,-6374800,-33523076
20140321,-13109303,-63946086
20140322,6235339,-72501755
20140323,-34729108,-48903999
20140324,-109418130,93580346
20140325,-49954717,-9119016
20140326,-69620916,132302039
20140327,-30326195,11009757
20140328,2333499,89058161
20140329,9522062,-102621471
20140330,38644695,3170006
20140331,1719402,19972075
20140401,37956018,-59241539
20140402,-55515418,-59361542
20140403,6096453,-13362069
20140404,-43645625,-63217050
20140405,20763834,28272884
20140406,-71614406,-77887404
20140407,-150549356,-162616477
20140408,64247816,46178747
20140409,54181586,31706588
20140410,41338231,31248154
20140411,-56823473,24385936
20140412,5746873,-45455628
20140413,15216005,-26019116
20140414,-81640446,84818844
20140415,59897300,-24783927
20140416,12931955,-65575138
20140417,-10590214,-9634895
20140418,-38663347,-29524861
20140419,87444860,3413971
20140420,-39059883,-41150447
20140421,-51326372,-42449622
20140422,-98600946,10172323
20140423,8264059,-6366179
20140424,-7036968,-46331329
20140425,-8694902,-7360797
20140426,-8066286,20346883
20140427,-11146923,-7038170
20140428,20642057,-18061312
20140429,-60048824,28019831
20140430,-63451054,-26534716
20140501,-95918590,-133870407
20140502,-24360185,-88471933
20140503,73124446,109798597
20140504,151955538,221555776
20140505,-4724604,-116692206
20140506,-79077250,26280462
20140507,87089762,-92851612
20140508,6264121,18529795
20140509,5631236,1727580
20140510,63133723,-30221730
20140511,-62046447,-84286424
20140512,-14606926,-21865613
20140513,-101399815,-13746167
20140514,15320742,49883776
20140515,16554001,-25821778
20140516,17394230,45313888
20140517,-26139751,-36917710
20140518,-28244449,-76121180
20140519,-52429813,-21968139
20140520,149126480,-11806927
20140521,-107854886,-26085897
20140522,49569176,14041972
20140523,2753859,-9687629
20140524,-60271754,-1289034
20140525,-4770275,18254118
20140526,32294882,-65871443
20140527,-41839462,45683559
20140528,-39673381,116040715
20140529,33367004,-2009781
20140530,2638817,16057332
20140531,-45321790,-72440827
20140601,27583539,-88971459
20140602,-149241197,-140754078
20140603,8103223,150693878
20140604,6251236,-16486301
20140605,101873965,80559192
20140606,51431230,-22877464
20140607,-33792735,-44148652
20140608,116500097,-51886798
20140609,-26359250,-9430738
20140610,-26525372,-7506572
20140611,-8674727,-61168574
20140612,-11873680,-24250932
20140613,-26646151,149082764
20140614,5531498,27823242
20140615,-22892767,-138332144
20140616,114120527,197670776
20140617,-119335080,118977102
20140618,59116236,8776038
20140619,-23418178,-92225778
20140620,4134244,-46557234
20140621,-9961365,29257212
20140622,-62136443,127366303
20140623,-35553333,-44236000
20140624,-43732125,29527054
20140625,12205773,161378338
20140626,-55298,19028668
20140627,59312042,4730918
20140628,-31286313,2398962
20140629,-17642852,-46169234
20140630,40520029,57897204
20140701,63372965,-55890059
20140702,33721857,-72736783
20140703,-81221311,-27042417
20140704,-17766264,-43029230
20140705,909751,81711335
20140706,19473402,-60895154
20140707,-34158296,-45304876
20140708,-61321625,-9024080
20140709,19120092,-76655638
20140710,-22104271,55986058
20140711,-3701132,-57226363
20140712,33191907,-43428335
20140713,4596793,3114396
20140714,-45755087,-50806678
20140715,49173809,-65335526
20140716,67257569,-61414442
20140717,-105162271,50088876
20140718,6993080,-56869868
20140719,51446323,-8959764
20140720,-25473441,-15840281
20140721,85908044,117760722
20140722,-104080186,-1311396
20140723,-18579934,-44665021
20140724,-10452330,33341295
20140725,-25884421,-40568123
20140726,-11340290,77066090
20140727,1867651,-90134754
20140728,108420463,-16558417
20140729,-116761352,-46700316
20140730,-72129408,-63037876
20140731,-36685690,-5472831
20140801,222321819,-2325234
20140802,-63092477,-22308294
20140803,-3816332,-64828671
20140804,16926396,339353
20140805,90903839,-96684816
20140806,-88243594,20199345
20140807,-35600727,-22579131
20140808,31121437,67842895
20140809,-18575832,-46349053
20140810,91911489,1518863
20140811,-42786676,68384983
20140812,-27893781,-44431342
20140813,-25611887,-18276454
20140814,3466861,-95883897
20140815,-183970,-17822451
20140816,48503863,43763723
20140817,-48240245,-58720932
20140818,-11935122,-86980867
20140819,-23080798,-26081565
20140820,42407252,-66884462
20140821,-19216621,-13053647
20140822,9003304,-48910335
20140823,-28445506,49163233
20140824,-43698892,22449564
20140825,22356705,-32085242
20140826,29433614,-17975556
20140827,17242500,184241105
20140828,-24387756,-46943606
20140829,30667208,-29329900
20140830,7369967,-35070271
20140831,81232943,87957910
