report_date,total_purchase_amt,total_redeem_amt
20140509,281479009,247743971
20140510,287240171,147248328
20140511,182424063,152945581
20140512,325108597,293952908
20140513,275241493,257918375
20140514,305474522,316225442
20140515,313367089,238307643
20140516,231967423,282094916
20140517,170983868,145854372
20140518,164419642,153440019
20140519,259077930,293791406
20140520,453955303,260040720
20140521,297799722,250223726
20140522,344636549,251108485
20140523,249546195,229000787
20140524,160073254,154409868
20140525,166943526,231004758
20140526,344890868,274707572
20140527,299049555,321965845
20140528,276134813,415891684
20140529,320549863,313827800
20140530,226547701,312802179
20140531,146823669,142862063
20140601,183489775,149829253
20140602,158219402,170409506
20140603,270887462,385622582
20140604,274460744,303978838
20140605,380042567,355645445
20140606,301413900,274862067
20140607,187801995,146203577
20140608,302171269,169525332
20140609,366114374,287520152
20140610,354031597,298190025
20140611,327661453,246127540
20140612,332365185,236467885
20140613,216923770,386799040
20140614,181574530,229916191
20140615,166080126,116623756
20140616,387308484,492349489
20140617,270350693,502560223
20140618,335262709,421920230
20140619,338609087,284956260
20140620,251582530,286583065
20140621,177999186,231003775
20140622,147180819,361285652
20140623,232227670,373779624
20140624,245450766,428471509
20140625,264663201,547295931
20140626,297628039,418742109
20140627,264282703,399444352
20140628,153826161,283400236
20140629,158801540,261170799
20140630,334054112,456547794
20140701,384428753,374164541
20140702,384555819,328950951
20140703,297894643,289009780
20140704,211649838,264494550
20140705,169383796,272535138
20140706,199569025,195530758
20140707,272182847,317612569
20140708,224240103,340453063
20140709,278005555,269642881
20140710,283095921,326009240
20140711,208671021,240050748
20140712,177644343,149081488
20140713,179759885,199459990
20140714,254797524,284753279
20140715,334810012,261722182
20140716,394890140,234775948
20140717,253011280,298279385
20140718,208959595,208671287
20140719,210318023,155464283
20140720,176449304,174462836
20140721,378088594,434191479
20140722,243084133,369043423
20140723,265461894,308353077
20140724,277044480,347622431
20140725,181641088,262874791
20140726,128268053,282653341
20140727,151406251,166610652
20140728,371762756,345986909
20140729,228093046,303480103
20140730,209917272,250117716
20140731,191728916,277194379
20140801,374884735,252540858
20140802,189092130,172250225
20140803,173825397,127125217
20140804,330640884,322907524
20140805,394780870,221706539
20140806,288821016,282346594
20140807,247646474,253659514
20140808,233903717,311648757
20140809,160262764,163611708
20140810,259534870,189909225
20140811,331550471,418603336
20140812,258493673,309754858
20140813,261506619,303975517
20140814,257702660,211939431
20140815,244551620,236516007
20140816,215059736,219214339
20140817,149978271,139564084
20140818,298499146,259169016
20140819,266401973,254929877
20140820,308378692,202452782
20140821,251763517,219963356
20140822,246316056,179349206
20140823,141412027,199377531
20140824,130195484,191080151
20140825,309574223,312413411
20140826,306945089,285478563
20140827,302194801,468164147
20140828,245082751,297893861
20140829,267554713,273756380
20140830,199708772,196374134
20140831,275090213,292943033
