report_date,total_purchase_amt,total_redeem_amt,x,p,r
20140213,626698794,362757986,4,-0.178649057,0.023046789
20140214,490710434,263261899,5,-0.216991578,0.274276765
20140215,255393179,121463693,6,-0.479544022,0.538620311
20140216,331324628,183057224,7,0.297311969,0.507094173
20140217,706118060,405809267,1,1.13119702,1.216843772
20140218,593563145,271125324,2,-0.15939957,0.331889767
20140219,408367966,323990451,3,-0.312005859,0.194984099
20140220,478925191,230855410,4,0.17277855,0.287462302
20140221,353981687,178914448,5,-0.260883132,0.22499348
20140222,282022706,134735118,6,-0.203284474,0.246929918
20140223,337053711,195214052,7,0.195129696,0.448872832
20140224,656317045,473470156,1,0.947217976,1.425389726
20140225,563505889,299155352,2,-0.141412076,0.36816429
20140226,680801145,284819682,3,0.208152671,0.047920486
20140227,672909288,492786036,4,-0.011592015,0.730168479
20140228,428721754,322030204,5,-0.362883287,0.346511101
20140301,362865580,211279011,6,-0.153610526,0.343915545
20140302,276202230,246199417,7,-0.238830451,0.165280999
20140303,505305862,513017360,1,0.82947785,1.083747258
20140304,524146340,250562978,2,0.037285295,0.51158967
20140305,454295491,209072753,3,-0.133265929,0.16558801
20140306,561787770,243149884,4,0.236613132,0.162991736
20140307,380139779,291087220,5,-0.32333917,0.197151383
20140308,243274169,140323202,6,-0.360040221,0.517934171
20140309,244752519,206312503,7,0.006076889,0.470266499
20140310,497338076,308040624,1,1.032003912,0.493077829
20140311,430500816,496039886,2,-0.134389992,0.610306717
20140312,377007897,416491268,3,-0.124257416,0.160367382
20140313,346286910,316973542,4,-0.081486322,0.238943127
20140314,315897431,311575572,5,-0.087758093,0.017029718
20140315,287407002,242799048,6,-0.090188859,0.220737857
20140316,269387391,390584547,7,-0.062697189,0.608674129
20140317,339008082,440624592,1,0.258440793,0.128115783
20140318,435479117,410240726,2,0.28456854,0.068956355
20140319,359014064,429298917,3,-0.175588335,0.046456117
20140320,365011495,336076380,4,0.016705281,0.217150646
20140321,282351818,259655286,5,-0.226457737,0.227392041
20140322,191700135,138039412,6,-0.321059321,0.468374343
20140323,167456369,186443311,7,-0.126467131,0.350652747
20140324,313180334,437825259,1,0.870220499,1.348302316
20140325,314345006,312710515,2,0.003718854,0.285764107
20140326,272935544,450254233,3,-0.131732527,0.439843598
20140327,266231082,359071642,4,-0.024564269,0.202513567
20140328,225966355,405443946,5,-0.151239768,0.129144991
20140329,160250985,155006056,6,-0.290819268,0.617688074
20140330,205533934,264714811,7,0.282575168,0.707770766
20140331,398884905,423852634,1,0.940725296,0.601167054
20140401,453320585,277429358,2,0.136469642,0.345457983
20140402,355347118,272612066,3,-0.21612402,0.017364031
20140403,363877120,266605457,4,0.024004703,0.022033541
20140404,251895894,200192637,5,-0.30774462,0.249105254
20140405,202336542,163199682,6,-0.196745374,0.184786791
20140406,129477254,139576683,7,-0.360089617,0.14474905
20140407,196936223,176966561,1,0.521010192,0.267880546
20140408,354770149,250015131,2,0.801446903,0.412781768
20140409,383347565,289330278,3,0.080551918,0.157251071
20140410,386567460,286914864,4,0.008399414,0.008348293
20140411,237829882,277077434,5,-0.384764869,0.03428693
20140412,177642053,123295320,6,-0.253070928,0.555014935
20140413,208172985,178934722,7,0.171867705,0.451269375
20140414,309853269,415986984,1,0.488441303,1.324797442
20140415,428681231,285293076,2,0.383497526,0.314177878
20140416,387847838,255914640,3,-0.095253513,0.102976337
20140417,355792647,265341592,4,-0.082648884,0.036836314
20140418,239300383,225952909,5,-0.327416165,0.14844519
20140419,268729366,146374940,6,0.122979256,0.352188292
20140420,191259529,161057781,7,-0.288281992,0.1003098
20140421,301134667,295635256,1,0.574481902,0.835585056
20140422,285248757,268810141,2,-0.052753508,0.090737199
20140423,313677307,278470936,3,0.09966231,0.035939102
20140424,318358891,224536754,4,0.014924841,0.193679753
20140425,220927432,227764292,5,-0.30604284,0.014374208
20140426,151625415,158122962,6,-0.31368679,0.305760527
20140427,146837951,191915377,7,-0.031574285,0.213709727
20140428,324937272,327724735,1,1.212897073,0.7076523
20140429,330607104,307578349,2,0.017449005,0.061473498
20140430,260091330,281835975,3,-0.213291769,0.083693713
20140501,193045106,143362755,4,-0.257779542,0.491325566
20140502,125336258,121222064,5,-0.350741075,0.154438236
20140503,185094488,199568043,6,0.476783263,0.646301312
20140504,303087562,413222034,7,0.637474812,1.070582182
20140505,370924149,309330781,1,0.223818446,0.251417505
20140506,318002728,341108696,2,-0.142674509,0.102731176
20140507,417327518,239372999,3,0.312339427,0.298250083
20140508,392838756,273187499,4,-0.05867996,0.1412628
20140509,281479009,247743971,5,-0.283474442,0.09313577
20140510,287240171,147248328,6,0.020467466,0.405643143
20140511,182424063,152945581,7,-0.364907553,0.038691461
20140512,325108597,293952908,1,0.782158514,0.921944433
20140513,275241493,257918375,2,-0.15338599,0.122586074
20140514,305474522,316225442,3,0.109841829,0.226067906
20140515,313367089,238307643,4,0.025837071,0.246399526
20140516,231967423,282094916,5,-0.259758184,0.18374263
20140517,170983868,145854372,6,-0.262897066,0.482959941
20140518,164419642,153440019,7,-0.038390908,0.052008362
20140519,259077930,293791406,1,0.575711556,0.914698707
20140520,453955303,260040720,2,0.752195963,0.114879759
20140521,297799722,250223726,3,-0.34398889,0.037751757
20140522,344636549,251108485,4,0.157276262,0.003535872
20140523,249546195,229000787,5,-0.275914886,0.088040426
20140524,160073254,154409868,6,-0.358542598,0.325723418
20140525,166943526,231004758,7,0.04291955,0.49604919
20140526,344890868,274707572,1,1.065913404,0.189185774
20140527,299049555,321965845,2,-0.132915415,0.172031199
20140528,276134813,415891684,3,-0.076625234,0.291726096
20140529,320549863,313827800,4,0.160845529,0.245409774
20140530,226547701,312802179,5,-0.293252853,0.003268101
20140531,146823669,142862063,6,-0.351908369,0.543283031
20140601,183489775,149829253,7,0.24972885,0.04876865
20140602,158219402,170409506,1,-0.137720878,0.137358043
20140603,270887462,385622582,2,0.712100151,1.262917082
20140604,274460744,303978838,3,0.01319102,0.211719302
20140605,380042567,355645445,4,0.384688249,0.169967776
20140606,301413900,274862067,5,-0.206894369,0.227145825
20140607,187801995,146203577,6,-0.376929879,0.468083833
20140608,302171269,169525332,7,0.6089886,0.159515625
20140609,366114374,287520152,1,0.211612127,0.696030609
20140610,354031597,298190025,2,-0.033002739,0.037110001
20140611,327661453,246127540,3,-0.074485284,0.174594992
20140612,332365185,236467885,4,0.014355463,0.039246543
20140613,216923770,386799040,5,-0.347333055,0.635736032
20140614,181574530,229916191,6,-0.162956969,0.405592653
20140615,166080126,116623756,7,-0.085333576,0.492755358
20140616,387308484,492349489,1,1.332057985,3.221691239
20140617,270350693,502560223,2,-0.301975804,0.020738793
20140618,335262709,421920230,3,0.240103013,0.160458368
20140619,338609087,284956260,4,0.009981361,0.324620533
20140620,251582530,286583065,5,-0.257011877,0.005708964
20140621,177999186,231003775,6,-0.29248193,0.193937803
20140622,147180819,361285652,7,-0.173137685,0.563981593
20140623,232227670,373779624,1,0.577839229,0.034581977
20140624,245450766,428471509,2,0.056940226,0.146321205
20140625,264663201,547295931,3,0.078274089,0.277321641
20140626,297628039,418742109,4,0.124553916,0.234889051
20140627,264282703,399444352,5,-0.112036944,0.046085064
20140628,153826161,283400236,6,-0.417948435,0.290513849
20140629,158801540,261170799,7,0.032344167,0.078438315
20140630,334054112,456547794,1,1.103594915,0.748081316
20140701,384428753,374164541,2,0.150797847,0.180448256
20140702,384555819,328950951,3,0.000330532,0.120838789
20140703,297894643,289009780,4,-0.225353958,0.121419837
20140704,211649838,264494550,5,-0.289514454,0.084824915
20140705,169383796,272535138,6,-0.199697965,0.030399825
20140706,199569025,195530758,7,0.17820612,0.282548447
20140707,272182847,317612569,1,0.363853168,0.624361161
20140708,224240103,340453063,2,-0.17614168,0.071913067
20140709,278005555,269642881,3,0.239767335,0.207988089
20140710,283095921,326009240,4,0.018310303,0.209040783
20140711,208671021,240050748,5,-0.262896405,0.263668883
20140712,177644343,149081488,6,-0.148687047,0.378958453
20140713,179759885,199459990,7,0.011908862,0.33792594
20140714,254797524,284753279,1,0.417432616,0.427621043
20140715,334810012,261722182,2,0.314023805,0.080880884
20140716,394890140,234775948,3,0.179445434,0.102957395
20140717,253011280,298279385,4,-0.359286915,0.270485276
20140718,208959595,208671287,5,-0.174109569,0.300416665
20140719,210318023,155464283,6,0.006500912,0.254979996
20140720,176449304,174462836,7,-0.161035743,0.122205259
20140721,378088594,434191479,1,1.142760472,1.488733354
20140722,243084133,369043423,2,-0.35707097,0.150044529
20140723,265461894,308353077,3,0.092057679,0.16445313
20140724,277044480,347622431,4,0.043631822,0.127351912
20140725,181641088,262874791,5,-0.344361281,0.243792208
20140726,128268053,282653341,6,-0.293837895,0.075239432
20140727,151406251,166610652,7,0.180389407,0.410547735
20140728,371762756,345986909,1,1.455398991,1.076619381
20140729,228093046,303480103,2,-0.386455361,0.122856689
20140730,209917272,250117716,3,-0.079685788,0.175834878
20140731,191728916,277194379,4,-0.086645352,0.108255678
20140801,374884735,252540858,5,0.955285321,0.088939469
20140802,189092130,172250225,6,-0.495599281,0.317931259
20140803,173825397,127125217,7,-0.080737009,0.261973579
20140804,330640884,322907524,1,0.902143701,1.540074516
20140805,394780870,221706539,2,0.193986857,0.313405472
20140806,288821016,282346594,3,-0.268401693,0.273514959
20140807,247646474,253659514,4,-0.142560755,0.101602359
20140808,233903717,311648757,5,-0.055493449,0.228610558
20140809,160262764,163611708,6,-0.314834471,0.47501248
20140810,259534870,189909225,7,0.619433383,0.160731266
20140811,331550471,418603336,1,0.277479481,1.204228552
20140812,258493673,309754858,2,-0.22034895,0.260027737
20140813,261506619,303975517,3,0.011655782,0.01865779
20140814,257702660,211939431,4,-0.01454632,0.302774667
20140815,244551620,236516007,5,-0.051031836,0.115960375
20140816,215059736,219214339,6,-0.120595742,0.073152207
20140817,149978271,139564084,7,-0.302620408,0.363344183
20140818,298499146,259169016,1,0.990282619,0.856989338
20140819,266401973,254929877,2,-0.107528525,0.016356658
20140820,308378692,202452782,3,0.1575691,0.205849136
20140821,251763517,219963356,4,-0.183589776,0.086492138
20140822,246316056,179349206,5,-0.021637214,0.184640527
20140823,141412027,199377531,6,-0.425891965,0.111672226
20140824,130195484,191080151,7,-0.079318169,0.041616425
20140825,309574223,312413411,1,1.377764677,0.634986205
20140826,306945089,285478563,2,-0.008492742,0.086215403
20140827,302194801,468164147,3,-0.015476019,0.639927503
20140828,245082751,297893861,4,-0.188990842,0.363697834
20140829,267554713,273756380,5,0.091691324,0.081027118
20140830,199708772,196374134,6,-0.253577821,0.282668283
20140831,275090213,292943033,7,0.377456835,0.49175977
