report_date,total_purchase_amt,total_redeem_amt,x,Unnamed: 4,Unnamed: 5,p,r
20131116,118085705,43188227,6,0.049770371,0.501870031,0.049770371,0.258064962
20131117,111786622,70378583,7,0.053343315,0.460813825,0.053343315,0.629577963
20131118,146306172,93793135,1,0.751251389,2.232359436,0.308798579,0.33269428
20131119,131365419,83684196,2,0.328968774,0.486489282,0.102119773,0.107779093
20131120,166163002,86951218,3,0.264891501,0.236714561,0.264891501,0.039039892
20131121,221166938,74733962,4,0.331023966,0.140507014,0.331023966,0.140507014
20131122,146268214,82717921,5,0.418861209,0.106831737,0.338652444,0.106831737
20131123,112590741,48882131,6,0.306699383,0.409050295,0.230244645,0.409050295
20131124,102394991,68183735,7,0.149097962,0.750249943,0.090555848,0.394860118
20131125,152973910,70113127,1,0.437019532,0.180499668,0.493958918,0.028296954
20131126,187334642,65802983,2,0.753645408,0.061474137,0.22461825,0.061474137
20131127,153956398,86129498,3,0.477695984,0.308899598,0.178174435,0.308899598
20131128,139760425,61453591,4,0.036997435,0.286497746,0.09220775,0.286497746
20131129,122536344,94270863,5,0.123240045,1.017492615,0.123240045,0.534017158
20131130,116865492,119660311,6,0.046278939,0.034858683,0.046278939,0.269324447
20131201,137889992,94632233,7,0.179903406,0.209159393,0.179903406,0.209159393
20131202,219060072,128465086,1,1.504266285,0.357519335,0.58865824,0.357519335
20131203,268666856,101662045,2,0.221961944,0.208640665,0.226452879,0.208640665
20131204,219456372,69981329,3,0.183165444,0.311627766,0.183165444,0.311627766
20131205,190825287,90287906,4,0.130463676,0.689833856,0.130463676,0.290171354
20131206,152197159,82625571,5,0.202426673,0.301303961,0.202426673,0.084865574
20131207,138882605,71916047,6,0.087482277,0.129615128,0.087482277,0.129615128
20131208,124886903,76314292,7,0.100773614,0.061158047,0.100773614,0.061158047
20131209,159670442,114133536,1,0.398487814,0.747448551,0.27852031,0.495572232
20131210,179471612,147147341,2,0.027590738,0.103423277,0.124012746,0.289255955
20131211,239916977,110314592,3,0.336796245,0.250312026,0.336796245,0.250312026
20131212,181649891,92090275,4,0.414964257,0.16520314,0.242863539,0.16520314
20131213,164672690,90778214,5,0.173216599,0.014247552,0.093461113,0.014247552
20131214,129045596,52234651,6,0.216350957,0.424590453,0.216350957,0.424590453
20131215,167558277,54757146,7,0.595423582,0.048291602,0.298442428,0.048291602
20131216,196489931,93481920,1,0.045620493,1.851816382,0.172666218,0.707209503
20131217,193980797,116537843,2,0.012769784,0.253715173,0.012769784,0.246635103
20131218,180215804,160927353,3,0.070960596,0.735237815,0.070960596,0.380902107
20131219,233631357,164023344,4,0.296397718,0.188890136,0.296397718,0.019238439
20131220,159833178,153678963,5,0.427014414,0.063066517,0.315874461,0.063066517
20131221,112000779,106942935,6,0.163345378,0.458926633,0.299264518,0.304114676
20131222,155281755,83998249,7,0.379840555,0.010182066,0.386434598,0.214550741
20131223,198747367,113694801,1,0.286030994,0.648584901,0.279914482,0.353537751
20131224,291188932,118607911,2,0.536656,0.143490654,0.465120954,0.043213146
20131225,380076148,179399708,3,0.244493338,0.456525779,0.305256163,0.512544201
20131226,270494174,241852564,4,0.420412435,0.399970432,0.28831584,0.34812128
20131227,211118967,163522548,5,0.041620363,0.32387507,0.219506417,0.32387507
20131228,192808006,93345252,6,0.086732904,0.62461923,0.086732904,0.429159751
20131229,161473347,55129989,7,0.162517416,0.101871994,0.162517416,0.409396966
20131230,221739989,104141855,1,0.773412042,2.26186577,0.373229658,0.889023685
20131231,265851934,134232530,2,0.071612416,0.253544737,0.198935452,0.288939303
20140101,330926565,77367755,3,0.244777723,0.42362887,0.244777723,0.42362887
20140102,434956739,112275943,4,0.314360299,1.45781269,0.314360299,0.451198151
20140103,342074805,127714255,5,0.213542924,0.328369211,0.213542924,0.137503294
20140104,244730474,99869074,6,0.456008138,0.218027197,0.284570303,0.218027197
20140105,206030707,146658756,7,0.107180587,0.569875335,0.158132195,0.468510222
20140106,402835872,190917629,1,1.147709186,0.217726741,0.95522249,0.30178132
20140107,456904138,137972793,2,0.33273319,0.277317691,0.134219095,0.277317691
20140108,371917557,164081368,3,0.552292187,0.550161226,0.186005278,0.18922988
20140109,280698487,140391237,4,0.063150523,0.343598334,0.24526691,0.144380384
20140110,237797636,117259153,5,0.152836061,0.164768717,0.152836061,0.164768717
20140111,243403438,71530182,6,0.023573834,0.389982102,0.023573834,0.389982102
20140112,228255344,127035736,7,0.062234511,0.978267188,0.062234511,0.775973896
20140113,309761882,178923772,1,0.959240218,0.264427019,0.357084906,0.40845228
20140114,356907128,159778389,2,0.201919719,0.107003015,0.152198346,0.107003015
20140115,391408718,177618247,3,0.096668257,0.111653761,0.096668257,0.111653761
20140116,374947083,153167426,4,0.042057405,0.137659398,0.042057405,0.137659398
20140117,345426853,127385210,5,0.078731723,0.168327018,0.078731723,0.168327018
20140118,233200688,142869842,6,0.324891259,0.121557534,0.324891259,0.121557534
20140119,185082022,117629351,7,0.206340155,0.176667732,0.206340155,0.176667732
20140120,303056395,236090448,1,0.814120158,2.766033564,0.637416707,1.007070905
20140121,412854611,302825136,2,0.229608495,0.316415772,0.362302917,0.282665769
20140122,498730606,292856188,3,0.208005416,0.032919817,0.208005416,0.032919817
20140123,481450097,209024328,4,0.034648984,0.286256065,0.034648984,0.286256065
20140124,614103894,246792728,5,0.275529692,0.654491629,0.275529692,0.180689015
20140125,440854623,254690034,6,0.2821172,0.463535865,0.2821172,0.031999752
20140126,528402520,289029471,7,0.198586773,0.788183676,0.198586773,0.13482835
20140127,657199484,280645861,1,0.243747823,0.15405055,0.243747823,0.029006073
20140128,843424742,248334316,2,0.283361845,0.115132804,0.283361845,0.115132804
20140129,952479658,215164666,3,0.129300115,0.133568532,0.129300115,0.133568532
20140130,522149301,122861720,4,0.760712778,0.510662661,0.45180005,0.428987471
20140131,259277123,77507056,5,0.61685843,0.542850648,0.503442555,0.369152117
20140201,127159018,61527060,6,0.263810142,0.278288098,0.509563295,0.206174726
20140202,57912761,44010658,7,0.099155256,0.603496088,0.544564264,0.284694279
20140203,75298751,45015728,1,0.456153127,0.890052599,0.30021,0.022836968
20140204,83653646,44927333,2,0.008018537,0.025631786,0.110956621,0.001963647
20140205,161677742,80184264,3,1.498922641,1.123600437,0.932704069,0.784754595
20140206,227860276,111635336,4,0.090011131,0.170087229,0.409348456,0.392234965
20140207,326332534,161528056,5,1.540233125,1.449781788,0.432160707,0.446925873
20140208,362826007,183432237,6,0.381057031,0.329271783,0.111829098,0.135606046
20140209,341911234,262954049,7,0.045621729,0.433521464,0.057644084,0.433521464
20140210,587813655,312588540,1,0.893664424,0.641934827,0.719199595,0.18875728
20140211,723208876,243058162,2,0.264629019,0.437044026,0.230336978,0.222434188
20140212,763009770,320134022,3,0.068140225,0.458852137,0.055033747,0.317108709
20140213,626698794,362757986,4,0.178649057,0.023046789,0.178649057,0.133144124
20140214,490710434,263261899,5,0.216991578,0.274276765,0.216991578,0.274276765
20140215,359142747,189260938,6,0.479544022,0.538620311,0.26811675,0.281092559
20140216,331324628,259375809,7,0.297311969,0.507094173,0.077456998,0.370466678
20140217,489518794,312103466,1,1.13119702,1.216843772,0.477459726,0.203286718
20140218,593563145,271125324,2,0.15939957,0.331889767,0.21254414,0.131296658
20140219,408367966,323990451,3,0.312005859,0.194984099,0.312005859,0.194984099
20140220,478925191,230855410,4,0.17277855,0.287462302,0.17277855,0.287462302
20140221,353981687,178914448,5,0.260883132,0.22499348,0.260883132,0.22499348
20140222,282022706,134735118,6,0.203284474,0.246929918,0.203284474,0.246929918
20140223,337053711,249784070,7,0.195129696,0.448872832,0.195129696,0.853889867
20140224,473172827,346810650,1,0.947217976,1.425389726,0.403849925,0.388441825
20140225,563505889,299155352,2,0.141412076,0.36816429,0.190909234,0.137410134
20140226,680801145,284819682,3,0.208152671,0.047920486,0.208152671,0.047920486
20140227,672909288,366545307,4,0.011592015,0.730168479,0.011592015,0.286938123
20140228,488165540,322030204,5,0.362883287,0.346511101,0.274544803,0.121445022
20140301,362865580,211279011,6,0.153610526,0.343915545,0.256675143,0.343915545
20140302,276202230,246199417,7,0.238830451,0.165280999,0.238830451,0.165280999
20140303,411855571,336593251,1,0.82947785,1.083747258,0.491137747,0.367156978
20140304,524146340,265409660,2,0.037285295,0.51158967,0.272645988,0.211482526
20140305,454295491,209072753,3,0.133265929,0.16558801,0.133265929,0.212263966
20140306,561787770,243149884,4,0.236613132,0.162991736,0.236613132,0.162991736
20140307,380139779,291087220,5,0.32333917,0.197151383,0.32333917,0.197151383
20140308,289388822,212574308,6,0.360040221,0.517934171,0.238730493,0.269722979
20140309,244752519,242309145,7,0.006076889,0.470266499,0.154243356,0.139879731
20140310,355372379,348796551,1,1.032003912,0.493077829,0.451966176,0.4394692
20140311,430500816,420442568,2,0.134389992,0.610306717,0.211407643,0.20540919
20140312,377007897,416491268,3,0.124257416,0.160367382,0.124257416,0.009397954
20140313,346286910,316973542,4,0.081486322,0.238943127,0.081486322,0.238943127
20140314,315897431,311575572,5,0.087758093,0.017029718,0.087758093,0.017029718
20140315,287407002,242799048,6,0.090188859,0.220737857,0.090188859,0.220737857
20140316,269387391,347142123,7,0.062697189,0.608674129,0.062697189,0.429750758
20140317,339008082,440624592,1,0.258440793,0.128115783,0.258440793,0.269291632
20140318,435479117,410240726,2,0.28456854,0.068956355,0.28456854,0.068956355
20140319,359014064,429298917,3,0.175588335,0.046456117,0.175588335,0.046456117
20140320,365011495,336076380,4,0.016705281,0.217150646,0.016705281,0.217150646
20140321,282351818,259655286,5,0.226457737,0.227392041,0.226457737,0.227392041
20140322,191700135,194712669,6,0.321059321,0.468374343,0.321059321,0.250110899
20140323,167456369,186443311,7,0.126467131,0.350652747,0.126467131,0.042469543
20140324,248931759,270493395,1,0.870220499,1.348302316,0.486546976,0.45080772
20140325,314345006,312710515,2,0.003718854,0.285764107,0.26277582,0.156074495
20140326,272935544,450254233,3,0.131732527,0.439843598,0.131732527,0.439843598
20140327,266231082,359071642,4,0.024564269,0.202513567,0.024564269,0.202513567
20140328,225966355,405443946,5,0.151239768,0.129144991,0.151239768,0.129144991
20140329,160250985,275054937,6,0.290819268,0.617688074,0.290819268,0.321595649
20140330,205533934,321207460,7,0.282575168,0.707770766,0.282575168,0.167793836
20140331,337144775,340829817,1,0.940725296,0.601167054,0.640336311,0.061089356
20140401,453320585,277429358,2,0.136469642,0.345457983,0.344587307,0.186017936
20140402,355347118,272612066,3,0.21612402,0.017364031,0.21612402,0.017364031
20140403,363877120,266605457,4,0.024004703,0.022033541,0.024004703,0.022033541
20140404,251895894,200192637,5,0.30774462,0.249105254,0.30774462,0.249105254
20140405,202336542,163199682,6,0.196745374,0.184786791,0.196745374,0.184786791
20140406,176250006,139576683,7,0.360089617,0.14474905,0.128926469,0.14474905
20140407,248608470,176966561,1,0.521010192,0.267880546,0.410544463,0.267880546
20140408,326923280,250015131,2,0.801446903,0.412781768,0.315012638,0.412781768
20140409,383347565,289330278,3,0.080551918,0.157251071,0.172591823,0.157251071
20140410,386567460,286914864,4,0.008399414,0.008348293,0.008399414,0.008348293
20140411,267346465,277077434,5,0.384764869,0.03428693,0.308409288,0.03428693
20140412,177642053,193102492,6,0.253070928,0.555014935,0.335536181,0.303073913
20140413,208172985,262674732,7,0.171867705,0.451269375,0.171867705,0.360286598
20140414,300369407,321318264,1,0.488441303,1.324797442,0.442883701,0.223255322
20140415,377366076,285293076,2,0.383497526,0.314177878,0.256339917,0.112116839
20140416,387847838,255914640,3,0.095253513,0.102976337,0.027776111,0.102976337
20140417,355792647,265341592,4,0.082648884,0.036836314,0.082648884,0.036836314
20140418,239300383,225952909,5,0.327416165,0.14844519,0.327416165,0.14844519
20140419,268729366,146374940,6,0.122979256,0.352188292,0.122979256,0.352188292
20140420,191259529,161057781,7,0.288281992,0.1003098,0.288281992,0.1003098
20140421,245240867,223900771,1,0.574481902,0.835585056,0.282241299,0.390189096
20140422,285248757,268810141,2,0.052753508,0.090737199,0.163137125,0.200577112
20140423,313677307,278470936,3,0.09966231,0.035939102,0.09966231,0.035939102
20140424,318358891,224536754,4,0.014924841,0.193679753,0.014924841,0.193679753
20140425,220927432,227764292,5,0.30604284,0.014374208,0.30604284,0.014374208
20140426,151625415,158122962,6,0.31368679,0.305760527,0.31368679,0.305760527
20140427,146837951,191915377,7,0.031574285,0.213709727,0.031574285,0.213709727
20140428,248301943,275739487,1,1.212897073,0.7076523,0.690992971,0.436776413
20140429,330607104,307578349,2,0.017449005,0.061473498,0.331472078,0.115467184
20140430,260091330,281835975,3,0.213291769,0.083693713,0.213291769,0.083693713
20140501,193045106,182140264,4,0.257779542,0.491325566,0.257779542,0.353736641
20140502,125336258,121222064,5,0.350741075,0.154438236,0.350741075,0.334457624
20140503,207560543,229433539,6,0.476783263,0.646301312,0.656029519,0.892671445
20140504,290441321,322407842,7,0.637474812,1.070582182,0.399308928,0.405234141
20140505,370924149,309330781,1,0.223818446,0.251417505,0.277105295,0.040560617
20140506,318002728,341108696,2,0.142674509,0.102731176,0.142674509,0.102731176
20140507,417327518,239372999,3,0.312339427,0.298250083,0.312339427,0.298250083
20140508,392838756,273187499,4,0.05867996,0.1412628,0.05867996,0.1412628
20140509,281479009,247743971,5,0.283474442,0.09313577,0.283474442,0.09313577
20140510,287240171,147248328,6,0.020467466,0.405643143,0.020467466,0.405643143
20140511,264924277,152945581,7,0.364907553,0.038691461,0.077690714,0.038691461
20140512,288424789,215267636,1,0.782158514,0.921944433,0.088706525,0.407478625
20140513,275241493,257918375,2,0.15338599,0.122586074,0.045707916,0.198128896
20140514,305474522,316225442,3,0.109841829,0.226067906,0.109841829,0.226067906
20140515,313367089,238307643,4,0.025837071,0.246399526,0.025837071,0.246399526
20140516,231967423,282094916,5,0.259758184,0.18374263,0.259758184,0.18374263
20140517,170983868,193796435,6,0.262897066,0.482959941,0.262897066,0.313009828
20140518,164419642,153440019,7,0.038390908,0.052008362,0.038390908,0.208241271
20140519,268327901,216412706,1,0.575711556,0.914698707,0.631969865,0.410405886
20140520,348079772,260040720,2,0.752195963,0.114879759,0.297217959,0.201596361
20140521,297799722,250223726,3,0.34398889,0.037751757,0.14444979,0.037751757
20140522,344636549,251108485,4,0.157276262,0.003535872,0.157276262,0.003535872
20140523,249546195,229000787,5,0.275914886,0.088040426,0.275914886,0.088040426
20140524,192187658,154409868,6,0.358542598,0.325723418,0.229851379,0.325723418
20140525,166943526,220040732,7,0.04291955,0.49604919,0.131351473,0.425043197
20140526,245429243,274707572,1,1.065913404,0.189185774,0.470133337,0.248439639
20140527,299049555,321965845,2,0.132915415,0.172031199,0.218475644,0.172031199
20140528,276134813,415891684,3,0.076625234,0.291726096,0.076625234,0.291726096
20140529,320549863,313827800,4,0.160845529,0.245409774,0.160845529,0.245409774
20140530,226547701,312802179,5,0.293252853,0.003268101,0.293252853,0.003268101
20140531,146823669,201831165,6,0.351908369,0.543283031,0.351908369,0.354764197
20140601,183489775,149829253,7,0.24972885,0.04876865,0.24972885,0.257650557
20140602,158219402,170409506,1,0.137720878,0.137358043,0.137720878,0.137358043
20140603,222400894,253686217,2,0.712100151,1.262917082,0.405648683,0.488685831
20140604,274460744,303978838,3,0.01319102,0.211719302,0.234081118,0.198247353
20140605,318639070,355645445,4,0.384688249,0.169967776,0.160964098,0.169967776
20140606,301413900,274862067,5,0.206894369,0.227145825,0.054058562,0.227145825
20140607,263795721,196863658,6,0.376929879,0.468083833,0.124805721,0.283772911
20140608,310693788,169525332,7,0.6089886,0.159515625,0.177781758,0.138869339
20140609,366114374,239820175,1,0.211612127,0.696030609,0.178376872,0.414656867
20140610,354031597,298190025,2,0.033002739,0.037110001,0.033002739,0.243390073
20140611,327661453,246127540,3,0.074485284,0.174594992,0.074485284,0.174594992
20140612,332365185,236467885,4,0.014355463,0.039246543,0.014355463,0.039246543
20140613,216923770,284394372,5,0.347333055,0.635736032,0.347333055,0.202676516
20140614,181574530,229916191,6,0.162956969,0.405592653,0.162956969,0.191558576
20140615,166080126,279629812,7,0.085333576,0.492755358,0.085333576,0.216224968
20140616,237003528,402345514,1,1.332057985,3.221691239,0.427043282,0.438850569
20140617,270350693,502560223,2,0.301975804,0.020738793,0.140703243,0.249076243
20140618,335262709,421920230,3,0.240103013,0.160458368,0.240103013,0.160458368
20140619,338609087,284956260,4,0.009981361,0.324620533,0.009981361,0.324620533
20140620,251582530,286583065,5,0.257011877,0.005708964,0.257011877,0.005708964
20140621,177999186,231003775,6,0.29248193,0.193937803,0.29248193,0.193937803
20140622,147180819,322023017,7,0.173137685,0.563981593,0.173137685,0.394016254
20140623,200306001,373779624,1,0.577839229,0.034581977,0.360951803,0.160723316
20140624,245450766,428471509,2,0.056940226,0.146321205,0.225378994,0.146321205
20140625,264663201,547295931,3,0.078274089,0.277321641,0.078274089,0.277321641
20140626,297628039,418742109,4,0.124553916,0.234889051,0.124553916,0.234889051
20140627,264282703,399444352,5,0.112036944,0.046085064,0.112036944,0.046085064
20140628,192303468,283400236,6,0.417948435,0.290513849,0.272356965,0.290513849
20140629,158801540,261170799,7,0.032344167,0.078438315,0.174213852,0.078438315
20140630,278552809,363961044,1,1.103594915,0.748081316,0.754093877,0.3935748
20140701,384428753,374164541,2,0.150797847,0.180448256,0.380092896,0.028034585
